show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,7,21,"Goodbye, Michael",8420000,4/28/11,9.8,12236,"As the office gets ready for Michael's final day at Dunder Mifflin, Michael doesn't tell anyone that he's leaving a day early. Meanwhile, Deangelo accompanies a nervous Andy on a visit to one of Michael's old clients."
The Office,7,22,The Inner Circle,6900000,5/5/11,7.5,3214,"Tensions rise and feelings are hurt when Deangelo creates an ""inner circle"" at the office--which is only composed of men."
The Office,7,23,"Dwight K. Schrute, (Acting) Manager",6450000,5/12/11,8.7,3528,"When Jim rejects Jo's offer, Dwight becomes acting manager at the Scranton branch, but an accident could cause his tenure to be short-lived."
The Office,7,24,Search Committee,7290000,5/19/11,8.7,3719,"The Scranton branch puts together a search committee to find the next boss, but the pool of interviewees proves to be less than impressive, and Dwight demands an interview in spite of his gun accident."
The Office,8,1,The List,7640000,9/22/11,8.1,3377,"New Dunder Mifflin CEO Robert California leaves a piece of paper with a line down the middle that has names of the Scranton staff on either side of it, leading everyone to try and figure out what it means."
The Office,8,2,The Incentive,6700000,9/29/11,8.1,3202,"Under pressure from Robert to increase branch sales, Andy offers an incentive program to the sales staff, which backfires on him when he offers a very personal grand prize."
The Office,8,3,Lotto,5820000,10/6/11,7.2,3050,"After the entire warehouse staff wins the lottery and quits their job, Darryl becomes depressed and demands to be fired. Meanwhile, the office staff is forced to load the truck for their orders themselves."
The Office,8,4,Garden Party,6080000,10/13/11,8.1,3348,"Andy claims to be throwing a garden party at Dwight's farm to impress Robert California, but he's really doing it to win the approval of his parents, who appear to favor his younger brother."
The Office,8,5,Spooked,5530000,10/27/11,7.5,2992,"Erin is worried that she is about to get fired after she organizes a disastrous office Halloween party for Robert and his son. Meanwhile, Robert probes the minds of the employees to come up with the perfect spooky story."
The Office,8,6,Doomsday,6150000,11/3/11,7.6,2882,"Dwight installs a ""Doomsday Device"" on the office computers that could get everyone fired if they make too many mistakes, while Gabe tries to hit on one of Darryl's warehouse employees."
The Office,8,7,Pam's Replacement,5960000,11/10/11,7.7,3079,"A pregnant and insecure Pam tries to prove that Jim is attracted to her temp replacement, and Robert and his musician friends take over a jam session with Andy, Kevin, and Darryl."
The Office,8,8,Gettysburg,5500000,11/17/11,6.8,3102,Andy decides to motivate and inspire everyone by taking them on a field trip to Gettysburg. Some people in the office stay behind and Robert California asks them to come up with Dunder Mifflin/Sabre's next big idea.
The Office,8,9,Mrs. California,5710000,12/1/11,7.6,3020,"Robert brings his wife to the office so that she can find a job, but he gives Andy conflicting messages about whether to hire her. Meanwhile, Dwight opens a gym in the building and tries to persuade Darryl to join."
The Office,8,10,Christmas Wishes,5790000,12/8/11,7.9,2950,"Andy tries to make this year's Christmas the best ever by granting each person's holiday wishes. Meanwhile, Robert California tries to drown his sorrows at the office party."
The Office,8,11,Trivia,5900000,1/12/12,7.9,2916,"Andy hopes to make up for a sales deficiency by entering and winning a bar trivia competition, while Dwight flies to corporate headquarters in Florida to demand a management interview with Robert."
The Office,8,12,Pool Party,6020000,1/19/12,8,3162,"Robert throws a party for the Dunder Mifflin staff at his house before he sells it because of his divorce. At the party, Erin and Dwight agree to flirt with each other to make Andy jealous, and Jim tries in vain to duck out early."
The Office,8,13,Jury Duty,5310000,2/2/12,7.4,2860,"Jim gets caught in a lie about his week of ""jury duty,"" and new questions emerge when Angela gives birth to a ""premature"" baby."
The Office,8,14,Special Project,5190000,2/9/12,7.6,2784,"Andy puts Dwight in charge of a special project in Tallahassee, but Dwight doesn't like the team Andy's assembled for him. Meanwhile, Darryl tries to figure out the meaning of Val's Valentine's gift."
The Office,8,15,Tallahassee,4380000,2/16/12,7.8,2936,"Dwight refuses to let appendicitis get in the way of leading his new team in Tallahassee, while Andy decides to step in for Erin as secretary in the office."
The Office,8,16,After Hours,5020000,2/23/12,8.1,3045,"In Tallahassee, Dwight and Todd Packer try to romance Nellie to get the VP position, while Jim wonders if a colleague is trying to hit on him. Back in Scranton, Val's boyfriend shows up with a message for Darryl."
The Office,8,17,Test the Store,4950000,3/1/12,7.8,2899,"Dwight and his team get ready for the grand opening of the Sabre Store, while Andy makes Toby teach self-defense to the Scranton branch employees after he is beat up in the parking lot by a girl."
The Office,8,18,Last Day in Florida,4890000,3/8/12,7.8,2829,"Jim tries to warn Dwight that he's going to be fired after Robert rejects the Sabre Store idea, but he refuses to listen. Meanwhile, Darryl and Toby try to sell cookies to Kevin, and Erin tells Andy she's not coming back from Florida."
The Office,8,19,Get the Girl,4870000,3/15/12,6.4,3320,"Andy goes to Tallahassee to tell Erin that he loves her and needs her to return to Scranton. Meanwhile, Nellie shows up in Scranton and tries to claim Andy's manager position by offering everyone raises."
The Office,8,20,Welcome Party,4390000,4/12/12,7,2919,"Andy tries to break up with his girlfriend after going to Florida to declare his love for Erin, and the office employees are forced against their will to throw a party for the hated Nellie."
The Office,8,21,Angry Andy,4350000,4/19/12,6.8,3170,"Andy and Erin return to Dunder Mifflin, only to discover that Nellie has taken his job and office and refuses to give them up. Meanwhile, Ryan becomes jealous after Pam tries to play matchmaker for Kelly."
The Office,8,22,Fundraiser,4170000,4/26/12,7,2809,Andy confronts Robert for the first time after losing the manager position and quitting his job at a fund raiser sponsored by Angela's husband.
The Office,8,23,Turf War,4440000,5/3/12,7.6,2724,"Dwight and Jim fight with the Syracuse over a client after Robert shuts down the Binghamton branch, and Andy sees an opportunity for revenge. Meanwhile Robert tries to figure out the contents of a drunken voicemail to Nellie."
The Office,8,24,Free Family Portrait Studio,4490000,5/10/12,7.7,2842,"With former CEO David Wallace's help, Andy launches a plan to get revenge on the Scranton branch. Meanwhile, Dwight launches his own plan to find out if he's the father of Angela's baby."
The Office,9,1,New Guys,4280000,9/20/12,7.5,3054,"Dwight and Jim are intimidated by the office's newest additions, who are considered younger versions of themselves. Meanwhile, Andy tries to make Nellie's life miserable, and Angela tries to get rid of one of her cats."
The Office,9,2,Roy's Wedding,4130000,9/27/12,7.1,2917,"After Roy's wedding, Jim and Pam wonder if they still have any secrets they're hiding from each other. Meanwhile, Clark tricks Erin into a ""news audition,"" and Dwight challenges Nellie's new charity initiative."
The Office,9,3,Andy's Ancestry,4140000,10/4/12,7.3,2873,"Nellie plays a trick on Andy after researching his ancestry, Dwight teaches Erin a new language, and Pam tries to teach Nellie how to drive."
The Office,9,4,Work Bus,4280000,10/18/12,7.8,3063,"When Jim convinces Dwight that the building is unsafe, Dwight rents a bus and sets up the office inside. Nellie asks for Andy's help in adopting a baby. Meanwhile, Jim tries to make Pam happy with some pie."
The Office,9,5,Here Comes Treble,4000000,10/25/12,6.9,2968,"On Halloween, the Cornell a Capella group pays a visit to Andy, Dwight discovers that Nellie takes anxiety pills, and Pam disapproves of Jim's business decision."
The Office,9,6,The Boat,4830000,11/8/12,7.7,2908,"Andy has one last chance to captain the family boat before he sells it, Jim, Pam, and Nellie prank Dwight with a radio interview, and Kevin finds out about Oscar's affair with Angela's husband."
The Office,9,7,The Whale,4160000,11/15/12,7.6,2782,"The office trains Dwight to sell to a female client without being offensive, only to discover that the client is Jan Levinson. Angela and Oscar both think the senator is cheating on them, and Jim has trouble on an important conference call."
The Office,9,8,The Target,3880000,11/29/12,7.8,2911,"Angela orders a hit on Oscar for cheating with her husband, the office makes a tower with their customer complaint cards, Jim wines and dines Stanley and Phyllis in exchange for a favor, and Pam begins her mural."
The Office,9,9,Dwight Christmas,4160000,12/6/12,8.4,3280,"Dwight puts together a Pennsylvania Dutch-themed office Christmas party, but he ends it abruptly because Jim has to leave for his other job. Meanwhile, Erin seeks comfort from a co-worker after a disappointing text from Andy."
The Office,9,10,Lice,4540000,1/10/13,7.6,2880,"Pam causes a lice outbreak but lets Meredith take the blame, Jim has a business meeting with Dr. J, and some coworkers try to get Darryl and Val back together."
The Office,9,11,Suit Warehouse,4150000,1/17/13,7.8,2827,"Dwight and Clark pose as father and son to get an account, Darryl goes for an interview with Jim's new business, and everybody in the office goes crazy over a new espresso machine."
The Office,9,12,Customer Loyalty,4190000,1/24/13,7.9,2918,"Dwight tries to keep Darryl from leaving Dunder Mifflin, Jim misses his daughter's recital because of an important business meeting, and Nellie is worried that Erin will dump Andy for Pete."
The Office,9,13,Junior Salesman,4450000,1/31/13,7.5,2765,Dwight gets to hire a new salesman to replace Jim when he is at his other job. But will he promote Clark or go with one of his unqualified friends instead?
The Office,9,14,Vandalism,3970000,1/31/13,7.4,2774,"Pam tries to find out who vandalized her mural, Darryl finds out that Jim is a slob, and Oscar and Kevin go to Angela and The Senator's child's first birthday party."
The Office,9,15,Couples Discount,4150000,2/7/13,7.2,2828,"Andy returns after three months to an angry office and an even angrier girlfriend, and Jim's Valentines Day with Pam does not go as planned."
The Office,9,16,Moving On,4060000,2/14/13,8,3065,"Andy finds out that Erin dumped him for Pete, Dwight gets Angela's help taking care of his aunt, and Pam interviews with a real estate firm whose boss is a carbon-copy of Michael Scott."
The Office,9,17,The Farm,3540000,3/14/13,7.5,3231,Show follows Dwight Schrute a beet farmer running a bed and breakfast inn.
The Office,9,18,Promos,3440000,4/4/13,8,2857,"The release of the documentary promos creates tension for the Dunder Mifflin employees, Dwight considers a business venture with his girlfriend's family, and Jim and Darryl have an awkward business meeting with baseball player Ryan Howard."
The Office,9,19,Stairmageddon,3830000,4/11/13,8,2961,"Dwight shoots Stanley with a bull tranquilizer after he refuses to go on a sales call, Jim and Pam head to marriage counseling, The Senator comes out of the closet, and Andy tries to find a talent agent."
The Office,9,20,Paper Airplane,3250000,4/25/13,8,3040,"The employees hold a paper airplane competition, Andy gets an acting role in a workplace safety video, and Jim and Pam's marriage tensions continue to build."
The Office,9,21,Livin' the Dream,3510000,5/2/13,9.1,4448,"Dwight becomes regional manager after Andy quits his job, Jim dedicates more time to his Dunder Mifflin job to save his marriage, and Angela has problems with her new living arrangements after her breakup with The Senator."
The Office,9,22,A.A.R.M.,4560000,5/9/13,9.5,5930,"Dwight prepares for a marriage proposal and hires an assistant for his assistant, Andy auditions for a singing program, Darryl tries to leave his job without a fuss, and Pam has second thoughts about Jim staying in Scranton."
The Office,9,23,Finale,5690000,5/16/13,9.8,15245,"One year later, Dunder Mifflin employees past and present reunite for a panel discussion about the documentary and to attend Dwight and Angela's wedding."
Friends,1,1,The One Where Monica Gets a Roommate: The Pilot,21500000,9/22/94,8.3,8378,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar."
Friends,1,2,The One with the Sonogram at the End,20200000,9/29/94,8,6441,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.
Friends,1,3,The One with the Thumb,19500000,10/6/94,8.1,6060,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.
Friends,1,4,The One with George Stephanopoulos,19700000,10/13/94,8.1,5892,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'."
Friends,1,5,The One with the East German Laundry Detergent,18600000,10/20/94,8.4,5872,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend."
Friends,1,6,The One with the Butt,18200000,10/27/94,8.1,5609,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.
Friends,1,7,The One with the Blackout,23500000,11/3/94,9,7133,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model."
Friends,1,8,The One Where Nana Dies Twice,21100000,11/10/94,8.1,5488,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.
Friends,1,9,The One Where Underdog Gets Away,23100000,11/17/94,8.2,5316,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.
Friends,1,10,The One with the Monkey,19900000,12/15/94,8,5337,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.
Friends,1,11,The One with Mrs. Bing,26600000,1/5/95,8.2,5265,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma."
Friends,1,12,The One with the Dozen Lasagnas,24000000,1/12/95,8.2,5161,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.
Friends,1,13,The One with the Boobies,25800000,1/19/95,8.6,5508,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.
Friends,1,14,The One with the Candy Hearts,23800000,2/9/95,8.2,5082,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends."
Friends,1,15,The One with the Stoned Guy,24800000,2/16/95,8.2,5124,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'."
Friends,1,16,The One with Two Parts: Part 1,26100000,2/23/95,8.1,5046,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.
Friends,1,17,The One with Two Parts: Part 2,30500000,2/23/95,8.4,5142,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey."
Friends,1,18,The One with All the Poker,30400000,3/2/95,8.8,5690,"As Rachel interviews for a new job, the girls take on the guys in a game of poker."
Friends,1,19,The One Where the Monkey Gets Away,29400000,3/9/95,8.1,4923,The gang frantically search for Ross's monkey Marcel after Rachel loses him.
Friends,1,20,The One with the Evil Orthodontist,30000000,4/6/95,7.8,4916,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls."
Friends,1,21,The One with the Fake Monica,28400000,4/27/95,7.8,4954,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.
Friends,1,22,The One with the Ick Factor,29900000,5/4/95,8.3,4916,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.
Friends,1,23,The One with the Birth,28700000,5/11/95,8.7,5191,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother."
Friends,1,24,The One Where Rachel Finds Out,31300000,5/18/95,8.9,5532,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend."
Friends,2,1,The One with Ross's New Girlfriend,32100000,9/21/95,8.5,5036,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut."
Friends,2,2,The One with the Breast Milk,29800000,9/28/95,8.2,4827,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer."
Friends,2,3,The One Where Heckles Dies,30200000,10/5/95,8.3,4841,"Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution."
Friends,2,4,The One with Phoebe's Husband,28100000,10/12/95,7.9,4689,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie."
Friends,2,5,The One with Five Steaks and an Eggplant,28300000,10/19/95,8.2,4697,"The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage."
Friends,2,6,The One with the Baby on the Bus,30200000,11/2/95,8.6,5035,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer."
Friends,2,7,The One Where Ross Finds Out,30500000,11/9/95,9,5740,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her."
Friends,2,8,The One with the List,32900000,11/16/95,8.5,4734,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute."
Friends,2,9,The One with Phoebe's Dad,27800000,12/14/95,7.9,4529,"Phoebe tracks down her father, but isn't sure whether she should meet him."
Friends,2,10,The One with Russ,32200000,1/4/96,8,4752,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.
Friends,2,11,The One with the Lesbian Wedding,31600000,1/18/96,8.1,4648,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.
Friends,2,12,The One After the Superbowl: Part 1,52900000,1/28/96,8.6,4891,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.
Friends,2,13,The One After the Superbowl: Part 2,52900000,1/28/96,8.7,5073,"Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme."
Friends,2,14,The One with the Prom Video,33600000,2/1/96,9.4,7366,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.
Friends,2,15,The One Where Ross and Rachel... You Know,32900000,2/8/96,8.9,5138,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.
Friends,2,16,The One Where Joey Moves Out,31100000,2/15/96,8.6,4553,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.
Friends,2,17,The One Where Eddie Moves In,30200000,2/22/96,8.3,4498,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment."
Friends,2,18,The One Where Dr. Ramoray Dies,30100000,3/21/96,8.4,4501,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica."
Friends,2,19,The One Where Eddie Won't Go,31200000,3/28/96,8.5,4615,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want."
Friends,2,20,The One Where Old Yeller Dies,27400000,4/4/96,8.1,4372,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.
Friends,2,21,The One with the Bullies,24700000,4/25/96,8.1,4415,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.
Friends,2,22,The One with the Two Parties,25500000,5/2/96,9,5487,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting."
Friends,2,23,The One with the Chicken Pox,26100000,5/9/96,8,4432,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.
Friends,2,24,The One with Barry and Mindy's Wedding,29000000,5/16/96,8.2,4433,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.
Friends,3,1,The One with the Princess Leia Fantasy,26760000,9/19/96,8.4,4591,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.
Friends,3,2,The One Where No One's Ready,26730000,9/26/96,9,6141,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space."
Friends,3,3,The One with the Jam,25230000,10/3/96,8,4378,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.
Friends,3,4,The One with the Metaphorical Tunnel,26100000,10/10/96,8,4217,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.
Friends,3,5,The One with Frank Jr.,23250000,10/17/96,8.1,4328,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.
Friends,3,6,The One with the Flashback,23270000,10/31/96,9.1,5646,"The gang remember the events three years ago, when several of them almost slept together."
Friends,3,7,The One with the Race Car Bed,27360000,11/7/96,8.3,4267,Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.
Friends,3,8,The One with the Giant Poking Device,28690000,11/14/96,8.3,4291,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.
Friends,3,9,The One with the Football,29280000,11/21/96,9,5940,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football."
Friends,3,10,The One Where Rachel Quits,25100000,12/12/96,8.1,4284,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.
Friends,3,11,The One Where Chandler Can't Remember Which Sister,29800000,1/9/97,8.6,4444,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.
Friends,3,12,The One with All the Jealousy,29610000,1/16/97,8.2,4218,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production."
Friends,3,13,The One Where Monica and Richard Are Just Friends,28030000,1/30/97,8.2,4227,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction""."
Friends,3,14,The One with Phoebe's Ex-Partner,28910000,2/6/97,7.8,4221,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg."
Friends,3,15,The One Where Ross and Rachel Take a Break,27250000,2/13/97,8.5,4529,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.
Friends,3,16,The One with the Morning After,28260000,2/20/97,9.1,5525,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night."
Friends,3,17,The One Without the Ski Trip,25840000,3/6/97,8.3,4168,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up."
Friends,3,18,The One with the Hypnosis Tape,28070000,3/13/97,8.4,4312,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.
Friends,3,19,The One with the Tiny T-Shirt,23650000,3/27/97,8.1,4147,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him."
Friends,3,20,The One with the Dollhouse,24360000,4/10/97,8.1,4114,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna."
Friends,3,21,The One with the Chick and the Duck,23220000,4/17/97,8.7,4442,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her."
Friends,3,22,The One with the Screamer,22630000,4/24/97,8.2,4185,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company."
Friends,3,23,The One with Ross's Thing,24170000,5/1/97,8,4109,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.
Friends,3,24,The One with the Ultimate Fighting Champion,23070000,5/8/97,8.1,4273,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.
Friends,3,25,The One at the Beach,23390000,5/15/97,8.8,4759,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie."
Friends,4,1,The One with the Jellyfish,29430000,9/25/97,9.1,5379,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach."
Friends,4,2,The One with the Cat,25540000,10/2/97,8,4197,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.
Friends,4,3,The One with the 'Cuffs,23980000,10/9/97,8.5,4258,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.
Friends,4,4,The One with the Ballroom Dancing,24310000,10/16/97,8.2,4127,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.
Friends,4,5,The One with Joey's New Girlfriend,24350000,10/30/97,8.4,4173,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.
Friends,4,6,The One with the Dirty Girl,25680000,11/6/97,8.5,4280,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.
Friends,4,7,The One Where Chandler Crosses the Line,26350000,11/13/97,8.7,4325,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.
Friends,4,8,The One with Chandler in a Box,26760000,11/20/97,9.1,5408,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.
Friends,4,9,The One Where They're Going to Party!,23890000,12/11/97,7.9,4031,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.
Friends,4,10,The One with the Girl from Poughkeepsie,23220000,12/18/97,8,4005,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls."
Friends,4,11,The One with Phoebe's Uterus,23660000,1/8/98,8.5,4296,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.
